Date time,Local date time,Purpose,Amount (BTC),* Exchange rate,Amount (USD)
2021-07-02 00:00:00 GMT,2021-07-01 19:00:00 GMT-05:00,Hashpower mining,0.00015857,34973.55,5.55
2021-07-02 00:00:00 GMT,2021-07-01 19:00:00 GMT-05:00,Hashpower mining fee,-0.00000317,34973.55,-0.11
2021-07-03 00:00:00 GMT,2021-07-02 19:00:00 GMT-05:00,Hashpower mining,0.00015385,33435.41,5.14
2021-07-03 00:00:00 GMT,2021-07-02 19:00:00 GMT-05:00,Hashpower mining fee,-0.00000308,33435.41,-0.10
2021-07-04 00:00:00 GMT,2021-07-03 19:00:00 GMT-05:00,Hashpower mining,0.00015753,33686.00,5.31
2021-07-04 00:00:00 GMT,2021-07-03 19:00:00 GMT-05:00,Hashpower mining fee,-0.00000316,33686.00,-0.11
2021-07-05 00:00:00 GMT,2021-07-04 19:00:00 GMT-05:00,Hashpower mining,0.00015874,34450.51,5.47
2021-07-05 00:00:00 GMT,2021-07-04 19:00:00 GMT-05:00,Hashpower mining fee,-0.00000318,34450.51,-0.11
2021-07-06 00:00:00 GMT,2021-07-05 19:00:00 GMT-05:00,Hashpower mining,0.00018656,35443.99,6.61
2021-07-06 00:00:00 GMT,2021-07-05 19:00:00 GMT-05:00,Hashpower mining fee,-0.00000373,35443.99,-0.13
2021-07-07 00:00:00 GMT,2021-07-06 19:00:00 GMT-05:00,Hashpower mining,0.00018707,34062.68,6.37
2021-07-07 00:00:00 GMT,2021-07-06 19:00:00 GMT-05:00,Hashpower mining fee,-0.00000374,34062.68,-0.13
2021-07-08 00:00:00 GMT,2021-07-07 19:00:00 GMT-05:00,Hashpower mining,0.00012006,34094.88,4.09
2021-07-08 00:00:00 GMT,2021-07-07 19:00:00 GMT-05:00,Hashpower mining fee,-0.00000240,34094.88,-0.08
2021-07-11 00:00:00 GMT,2021-07-10 19:00:00 GMT-05:00,Hashpower mining,0.00004772,33967.38,1.62
2021-07-11 00:00:00 GMT,2021-07-10 19:00:00 GMT-05:00,Hashpower mining fee,-0.00000095,33967.38,-0.03
2021-07-12 00:00:00 GMT,2021-07-11 19:00:00 GMT-05:00,Hashpower mining,0.00015359,33565.83,5.16
2021-07-12 00:00:00 GMT,2021-07-11 19:00:00 GMT-05:00,Hashpower mining fee,-0.00000307,33565.83,-0.10
2021-07-13 00:00:00 GMT,2021-07-12 19:00:00 GMT-05:00,Hashpower mining,0.00015718,34223.25,5.38
2021-07-13 00:00:00 GMT,2021-07-12 19:00:00 GMT-05:00,Hashpower mining fee,-0.00000315,34223.25,-0.11
2021-07-14 00:00:00 GMT,2021-07-13 19:00:00 GMT-05:00,Hashpower mining,0.00016759,33148.24,5.56
2021-07-14 00:00:00 GMT,2021-07-13 19:00:00 GMT-05:00,Hashpower mining fee,-0.00000335,33148.24,-0.11
2021-07-15 00:00:00 GMT,2021-07-14 19:00:00 GMT-05:00,Hashpower mining,0.00017173,32691.91,5.61
2021-07-15 00:00:00 GMT,2021-07-14 19:00:00 GMT-05:00,Hashpower mining fee,-0.00000344,32691.91,-0.11
2021-07-16 00:00:00 GMT,2021-07-15 19:00:00 GMT-05:00,Hashpower mining,0.00015979,32766.35,5.24
2021-07-16 00:00:00 GMT,2021-07-15 19:00:00 GMT-05:00,Hashpower mining fee,-0.00000319,32766.35,-0.10
2021-07-17 00:00:00 GMT,2021-07-16 19:00:00 GMT-05:00,Hashpower mining,0.00015101,31752.49,4.79
2021-07-17 00:00:00 GMT,2021-07-16 19:00:00 GMT-05:00,Hashpower mining fee,-0.00000302,31752.49,-0.10
2021-07-18 00:00:00 GMT,2021-07-17 19:00:00 GMT-05:00,Hashpower mining,0.00015084,31542.95,4.76
2021-07-18 00:00:00 GMT,2021-07-17 19:00:00 GMT-05:00,Hashpower mining fee,-0.00000301,31542.95,-0.09
2021-07-19 00:00:00 GMT,2021-07-18 19:00:00 GMT-05:00,Hashpower mining,0.00014850,31579.19,4.69
2021-07-19 00:00:00 GMT,2021-07-18 19:00:00 GMT-05:00,Hashpower mining fee,-0.00000298,31579.19,-0.09
2021-07-20 00:00:00 GMT,2021-07-19 19:00:00 GMT-05:00,Hashpower mining,0.00015247,31652.78,4.83
2021-07-20 00:00:00 GMT,2021-07-19 19:00:00 GMT-05:00,Hashpower mining fee,-0.00000305,31652.78,-0.10
2021-07-21 00:00:00 GMT,2021-07-20 19:00:00 GMT-05:00,Hashpower mining,0.00015090,30787.89,4.65
2021-07-21 00:00:00 GMT,2021-07-20 19:00:00 GMT-05:00,Hashpower mining fee,-0.00000303,30787.89,-0.09
2021-07-22 00:00:00 GMT,2021-07-21 19:00:00 GMT-05:00,Hashpower mining,0.00015831,29670.55,4.70
2021-07-22 00:00:00 GMT,2021-07-21 19:00:00 GMT-05:00,Hashpower mining fee,-0.00000317,29670.55,-0.09
2021-07-23 00:00:00 GMT,2021-07-22 19:00:00 GMT-05:00,Hashpower mining,0.00016379,32003.61,5.24
2021-07-23 00:00:00 GMT,2021-07-22 19:00:00 GMT-05:00,Hashpower mining fee,-0.00000328,32003.61,-0.10
